ResourceID,Primary Reference Number,Name,Name Type,Artefact Description,Dimensions,Manufacture Method,Material,Adminstrative Subdivision Type,Archaeological Period From,Archaeological Period To,Discovery Date,Land Use,Recovery Method,Completeness,Subsequent Action
9fda0642-9ab5-4455-bc46-6093e4d2e350,0100378,Buckle,Certain,"Complete cast copper-alloy rectangular two-piece shoe buckle with drilled frames for separate spindles, c.1690-1720 (Whitehead 2016, pp.96-103). The buckle is concavo-convex with rounded bevelled edges. The buckle is complete and intact, bearing a Whitehead type III ""cooking pot"" shaped chape with triangular spike. The buckle has a surviving triangular pin. The convex side of the buckle frame bears incised transverse line decoration, with two longitudinal incised lines c. 10cm in length at either side of the strap bar.References:Whitehead, R. (2016) ""Buckles 1250-1800"", Witham: Greenlight publishing, pp. 96-101.","Length: 46.16mm, Width: 36.11mm, Thickness: 5.10mm, Weight: 20.8g",Cast,Copper alloy,St. Brelade,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,01/04/2022,Intertidal,Metal detector,Complete,Returned to Finder
82094d76-8464-4f11-a5b8-e49d786f5494,0100379,Buckle frame,Certain,"Cast copper alloy sub-rectangular shoe buckle frame with drilled frame for separate spindle of the Post-Medieval period (c.1720-1790). Intertwined openwork buckle with moulded pelleted and grooved decoration. There is a moulded ""S"" shape over each spindle hole with trefoil openwork decoration at each side. Two further ""S"" shapes also exist at each end of the buckle with bilobed openwork decoration at each side. Semi-circular openwork loops exist at each corner of the buckle. The buckle frame is concavo-convex, and is missing the spindle, pin and chape. Whitehead, R. (2016) ""Buckles 1250-1800"", Witham: Greenlight publishing, pp. 104-109.","Length: 52.35, Width: 44.49mm, Frame Thickness: c.1.76mm, Weight: 11.7g",Cast,Copper alloy,St. Brelade,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,01/04/2022,Intertidal,Metal detector,Incomplete,
41c7a2bb-71ed-4aea-aaac-5bc0fd93aa69,0100487,Axehead,Possibly,"Cast copper alloy fragment of probable socketed axehead of Late Bronze Age date (c.1600–750 BCE).The fragment is sub-rectangular and plan and slightly concavo-convex. The probable slight remainder of a collar, such as those from socketed axeheads or other socketed tools, exists on the longest edge of the object,  ","Length: 19.1mm, Weight: 17.1mm, Thickness: 7.1mm, Weight: 6.7g",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Fragment,
85636135-80a6-42aa-9926-cfe9558ba849,0100507,Sword pommel,Certain,"A complete cast concavo-convex oval dome form pommel with terminal button, probably of a basket hilted backsword or broadsword c18th century. Cast decoration in  relief appears to show a leaf on either end of the object, and a horse or pony on each long side. Iron rust corrosion survives at the base of the bowl where the blade tang would have been set. Length: 33.27mm, Width: 25.36mm thickness: 17.96mm, Weight: 23.4g","Length: 33.27mm, Width: 25.36mm thickness: 17.96mm, Weight: 23.4g",Cast,Copper alloy,St. Brelade,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,04/11/2021,Cultivated land,Metal detector,Complete,
a14c1ff9-1e13-4c57-8d53-4b825e1d6797,0100508,Cloth seal,Certain,"A cast post-medieval lead alloy clothworker's personal seal.The seal is stamped on one side with a mark probably comprising of a heart which is quartered by lines (a common motif on post-medieval cloth seals). From the top of the heart emerges a vertical projection next to two other diagonal lines, each ending in a circular knop. A vertical projection also projects from the bottom of the heart. A pierced circular exists at hole just off centre of the heart where a rivet would have been attached. Some possible lettering exists around the heart, though heavy abrasion makes this difficult to identify. The reverse of the object bears the seal crimped together, with traverse line decoration or abraded letters. Late 16th-17th century.","Length: 29.27mm, Width: 22.79mmx6.42",Cast,Lead,St. Brelade,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,25/02/2022,Cultivated land,Metal detector,Incomplete,
abcd3080-7a87-4a77-a65b-96bc22070969,0100511,Spoon,Certain,"A complete Post-Medieval copper alloy spoon dating to c.AD 1650-1800. The bowl is oval shaped and relatively deep. On the rear of the bowl, at the junction with the handle, there is an elongated ridge that travels just over the halfway point of the bowl and functions as support to this junction. The bowl is undecorated and there is no maker's mark. The handle is long and ends in a trefoil terminal.The surface of the spoon bowl is dark grey in colour with patches of silver, on top of a brassy sheen. It measures 21cm in length, 4.16cm at the maximum width, 1.26cm in thickness and weighs 71.51g.Homer (1975, pp. 43-46) says that by the middle of the 17th century the bowls of most spoons had become distinctly oval in shape and, by the end of the century and onwards, they acquired he elongated oval form of the dog nose spoon (ibid, p.46e, dating to c.1710).","Length: 21cm, Width: 4.16cm, Thickness: 1.26cm, Weight: 71.5g.",Cast,Copper alloy,St. Brelade,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,02/04/2022,Intertidal,Metal detector,Complete,Returned to Finder
dbab6823-07f8-4d85-a900-b4cb8152c932,0100512,Bridle bit,Certain,"An incomplete copper alloy harness bit link of Late Iron Age to Early Gallo-Roman date (20BC - AD 120).The fitting consists of one complete ring connected to a protruding arm. At the connection to the arm, there is a  collar that gently flares out before reaching a cast central boss. This boss consists of banded decoration of three raised, rounded ridges that travel the circumference of the arm. At the end of the arm is a broken ring, the remainder of which protrudes creating approximately a quarter of the loop. The arm is oval in cross section. This object is an example of the central link of a Spratling Group I 'three-link-bit' of a horses bridle, similar to those found in Late Iron Age contexts in Hengistbury Head and Walthamstow, based on the relatively slight mouldings of the central decoration (Spratling 1972, p.88 fig 152-162). This central link would have been connected to two side-links and two side-rings (Spratling 1972, p.86).The object has a heavy and patchy green and brown patina, with patches of bronze disease. Spratling, M.G.; (1972) Southern British decorated bronzes of the late pre-Roman Iron Age. Doctoral thesis , University of London. - pp. 71-98, fig. 152-162.","Length: 44.40mm, Width (at complete ring): 17.87mm, Width (at boss of arm): 8.73mm, Thickness: 7.59mm, Weight: 13.1g.",Cast,Copper alloy,St. Brelade,Iron Age 700-51 BCE,Gallo-Roman 51 BCE-451 CE,01/05/2022,Cultivated land,Metal detector,Incomplete,Returned to Finder
77ddff25-91b4-4304-9b94-0244b8596d22,0100513,Signet ring,Certain,"A cast copper alloy fragment of a probable Late Medieval to Post-Medieval signet ring. The finger ring fragment has a central bevel 12.18mm in length, 9.77mm in width and 1.20mm in thickness. This bevel bears an incised decoration resembling two distinct branches with offshooting twigs, rising off centre from the bottom of the bevel to the top in a v-shape. Abrasion on the surface of the ring removes much of the decoration.Though Late-Medieval to Post-Medieval Signet rings are common finds, this motif is unusual. The ring is relatively similar to Roman finger-rings of type Guirard 2a, though somewhat similar to type 2g. ","Overall length: 19.71mm, width at hoop: 3.98mm, thickness at hoop: 1.24. ",Cast,Copper alloy,St. Brelade,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,14/06/2022,Cultivated land,Metal detector,Fragment,Returned to Finder
04fa6888-eccb-443a-93f0-eaa25d071a29,0100514,Finger ring,Certain,"A complete copper alloy finger ring of Late Medieval to Post-Medieval date (AD 1500-1700). The band is D shaped in section with a convex external face and flat internal face. It has been made by bending a strip of metal and soldering the ends to form a ring and butt joint. The join is clearly visible and the decoration is not aligned. The decoration consists of a series of foliate motifs, each separated by a vertical line. The motifs are all identical whereas the lines are irregular, suggesting the decoration was stamped rather than cast onto the ring.The ring has been slightly deformed, making it oval in plan measuring 25.5mm x 19.10mm in plan.Similar rings on the UK PAS include: NARC-D655E7.","Length in plan: 25.5mm, Width in plan: 19.10mm, band width: 4.14mm, band thickness: 1.82mm.",Cast,Copper alloy,St. Brelade,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,14/06/2022,Cultivated land,Metal detector,Complete,Returned to Finder
e7a0b8a4-2580-48ef-928e-d5d63b9e34b9,0100515,Finger ring,Certain,A complete copper finger ring made from a single piece of cut copper sheet and soldered together at its butt of probable Medieval date (c.12-14th century).The ring bears a pointed lozenge-shaped bezel with decoration consisting of four stamped circles making a quatrefoil design. This design is within a lozenge-shaped border that travels the bounds of the bevel. The band appears otherwise undecorated.The the band has been soldered together at two clear points.    ,"Diameter: 21.08mm, Width of band: 3.58, Width of Bezel: 8.63mm, thickness: 0.9mm, Weight: 0.4g.",Cast,Copper alloy,St. Brelade,Medieval 934-1539 CE,Medieval 934-1539 CE,14/06/2022,Cultivated land,Metal detector,Complete,Returned to Finder
1c9ec2e2-91ff-43ab-a35b-5c2a5af6e22e,0100516,Casting waste,Probable,"A corroded cast copper alloy casting jet or ""gate"" with a flattened skewed conical shape with two sprue projections near the tip. The surfaces are textured with striations from cooling melt. This type of object is the result of casting into a mould and represents waste where molten bronze solidifies at the entrance of the mould around the gate and the casting channel/channels.Casting waste is difficult to date, and can potentially be prehistoric to post Medieval.","Length: 27.64mm, Diameter at Base: c. 24.70mm, Weight: 30.1g",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Medieval 934-1539 CE,Post-2015,Cultivated land,Metal detector,Fragment,
d1c0fa98-d585-4fbd-9494-e5d27dde598c,0100517,Sword,Certain,"Cast copper alloy sword handle fragment of an Artlantic leaf-shaped sword of the Carp's Tongue Complex of late Bronze Age date (c. 1000-800 BCE) (Coffyn et al 1981, pp. 83-4). This type corresponds with Ewart Park-type swords in Britain.The fragment consists of most of the handle, with slight ribs running down its edges. Two holes (approximately 3.82mm in dia.) and the remains of a third travel down the centre of the handle, representing a 'tripartite tounge'. The sides of the handle gently curve to a wide flared end. The broken end is irregular but patinated, suggesting an old break. The object bears a dark to mid green patina.This sword handle is firmly of the Carp's Tongue metalworking tradition in the Late Bronze Age, common in Western Europe during the late 9th-8th centuries BCE.References:Coffyn, A., Gomez, J., Mohen, J.P. (1981) ""L'apogee du Bronze Atlantique: Le Depot de Venat"", Paris: Picard. ","Length: 65.25, Witdth (at bottom): 32.61, Width (at break): 22.53mm, Thickness: 5.4, Perforation/Hole Diameter: 3.82mm, Weight: 34.8g.",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Incomplete,
719c93ef-7d49-414d-9e07-6dbab4ef8ca7,0100518,Blade,Certain,"A fragment of a copper alloy sword blade of Late Bronze Age date (c.1600–750 BCE).A short section of sub-rectangular blade survives with a convex mid-rib on either face, flanked by a pair of vertical grooves. Either side of the mid-rib, the blades thickness gradually tapers towards what would have been a cutting edge. Both cutting edges are worn and incomplete and the breaks are worn and abraded. The fragment is lenticular in cross section.The fragment has a patchy green patina.","Length: 40.98mm, Width: 24.02, Thickness:  7.07mm, Weight: 24.8g.",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Fragment,
76937dfe-89e7-42a5-9ed2-05770e128898,0100519,Blade,Certain,"A fragment of a copper alloy sword blade of Late Bronze Age date (c.1600–750 BCE).A short section of sub-rectangular blade survives with a mid-rib on either face, flanked by a pair of vertical grooves. These grooves travel diagonally inwards and almost meet, implying this would have been near the tip of the sword. Either side of the mid-rib, the blade thickness gradually tapers towards what would have been a cutting edge. Both cutting edges are worn and incomplete and the breaks are worn and abraded. The fragment is lenticular in cross section. The fragment has a patchy light to mid green patina.","Length: 25.37mm, Width: 18.75mm, Thickness: 7.51mm, Weight: 11.8g. ",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Fragment,
af9a0d9d-28d4-49e3-93a4-24515d3affcd,0100520,Blade,Certain,"Cast copper alloy probable blade fragment of Bronze Age date (2600-701 BCE).The object is sub-trapezoidal in plan. One end of the object is flat, with one side straight and meeting at a right angle, with the other side curving to a rounded end. The object is lenticular in cross section. This object may be a fragment of a knife blade or razor.","Length: 35.54mm, Width (at break): 31.14mm, Thickness: 6.45mm, Weight: 23.3g.",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Fragment,
cb0e06a9-f2e8-4999-a314-755bb57bd42f,0100521,Axehead,Certain,"Incomplete cast copper alloy axe head of the probable Late to Middle Bronze Age (c.1600–750 BCE).The axehead is missing much of its diagnostic features, consisting only of a complete curved edge and small fragment of the body, with a diagonal old break at its butt. A casting fault or smaller break intrudes on the body, but does not represent the end of a socket due to size.This object may be the end of a 'Famille des Haches a Aileron' (Winged Axes), and may correspond with 'Type Sans Epaulements' (Shoulderless subtypes) such as those found in Depot de La Cour, Gausson (Briard 1976, p.17). However, the lack of further features makes this identification uncertain.References:Briard, J. & Verron, G. (1976) Typologies des Objets de L'age du Bronze en France, Fascicule III: Haches (2). Paris.","Length (break to edge): 37.54mm, Width (at edge): 42.32mm, Break: 29.45mm x 17.02mm, Weight: 69.5g.",Cast,Copper alloy,St. Brelade,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,Post-2015,Cultivated land,Metal detector,Fragment,
b07946da-70b9-4499-b303-1d9863d1f071,0100522,Seal matrix,Certain,"A complete copper alloy seal matrix of Medieval date (AD 1200-1300). The object is of conical type with a flat circular die and single perforated lug.The obverse (die) of the object has a central incised design consisting 'lamb and staff' motif, also known as the Agnus Dei or Lamb and Flag. The lamb stands to the left with curled horns and T-shaped staff to the rear. The motif is surrounded by a moderately abraded inscription in retrograde, within an inner circular border. The inscription starts at twelve o'clock and runs retrograde (anti-clockwise) around the matrix. The inscription reads +S'PETRIBAGOT[C]DI (Seal of Peter Bagot [C]DI). The Last three letters may have referred to the Diocèse de Coutances, the diocese in control of the islands churches throughout much of the Medieval period.The reverse of the matrix is conical and bears a collared perforated lug.Seals of this style that predominated throughout the thirteenth century, with the inscription simply naming the owner. This group of relatively simple non-heraldic designs and crude personal inscriptions belong to the 13th- century (Harvey and McGuinness 1996. 79-80).Inscription: ++S'PETRIBAGOT[C]DI[...]Ref: Harvey, P.D.A. & McGuiness, A. (1996) A Guide to British Medieval Seals. Toronto: University of Toronto Press","Die diameter: 19.67mm, Length: 20.82mm, Weight: 9.4g",Cast,Copper alloy,St. Brelade,Medieval 934-1539 CE,Medieval 934-1539 CE,Post-2015,Cultivated land,Metal detector,Complete,
