ResourceID,Activity Type,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Cadastral Reference,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,From Date,Geometry Qualifier,Keyword,Name,Name Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,To Date
d3aaba03-f85f-4e5b-a70d-ec7360925016,,,,,,,,,,,,,,,,,,,,,,,,
468e8f70-116c-0138-9149-740f24312a1c,,Postal Address,St. John,Parish,,,,,,Listed building,Government of Jersey,JN0148,,,Richmond Map,Folly Farm,,"Folly Farm, La Rue des Buttes",,0500148,GEOMETRYCOLLECTION (POINT (-2.143658 49.241144)),,,
0462bbb0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0842,,,,St James School,,"St James School, Chapel Lane",,0400842,GEOMETRYCOLLECTION (POINT (-2.099421 49.182963)),,,
8b6a4810-1498-0138-c570-740f24312a1c,,Postal Address,St. Clement,Parish,,,,,,Listed building,Government of Jersey,CL0022,,,,Les Tours Farm,,"Les Tours Farm, La Grande Route de St. Clement",,0200022,GEOMETRYCOLLECTION (POINT (-2.045168 49.174924)),,,
84e12560-1168-0138-913a-740f24312a1c,,,Grouville,Parish,,,,,,,,,,,,,,,,0300329,GEOMETRYCOLLECTION (POINT (-2.034088 49.165784)),,,
0bd219c0-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0033,,,,Maranham,,"Maranham, La Rue de Bas",,0600033,GEOMETRYCOLLECTION (POINT (-2.138403 49.204923)),,,
468f71a0-116c-0138-9149-740f24312a1c,,Postal Address,St. John,Parish,,,,,,Listed building,Government of Jersey,JN0169,,,,Beau Reveil,,"Beau Reveil, La Route des Issues",,0500169,GEOMETRYCOLLECTION (POINT (-2.130601 49.244231)),,,
0bd4d160-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0105,,,Richmond Map,La Chasserie,,"La Chasserie, Le Mont Cochon",,0600105,GEOMETRYCOLLECTION (POINT (-2.12544 49.211339)),,,
0468fe30-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1013,,,,41,,"41, Great Union Road",,0401013,GEOMETRYCOLLECTION (POINT (-2.106977 49.188886)),,,
062449e0-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,Listed building,Government of Jersey,MN0268,,,Richmond Map,Le Cotil,,"Le Cotil, La Rue St Julien",,0700268,GEOMETRYCOLLECTION (POINT (-2.048244 49.207155)),,,
04737620-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1328/HE1329,,,,3-4 Queen's Road Terrace,,"3-4 Queen's Road Terrace, Queen's Road",,0401328,GEOMETRYCOLLECTION (POINT (-2.109064 49.193238)),,,
5054a7e0-116c-0138-914f-740f24312a1c,,Postal Address,St. Brelade,Parish,,,,,,Listed building,Government of Jersey,BR0081,,,,Milestone 'B7',,"Milestone 'B7', Le Mont de la Pulente",,0100081,GEOMETRYCOLLECTION (POINT (-2.225963 49.187093)),,,
04526c30-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0378,,,Mill,6,,"6, The Parade",,0400378,GEOMETRYCOLLECTION (POINT (-2.110001 49.186254)),,,
84dcdfd0-1168-0138-913a-740f24312a1c,,Postal Address,Grouville,Parish,,,,,,Listed building,Government of Jersey,GR0118,,,"Richmond Map,Coastal Fortification",Hurel Tower,,"Hurel Tower, La Grande Route des Sablons",,0300118,GEOMETRYCOLLECTION (POINT (-2.030989 49.174019)),,,
b36462c0-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0026,,,,La Maison du Sud,,"La Maison du Sud, La Rue de Diélament",,1200026,GEOMETRYCOLLECTION (POINT (-2.07187 49.226894)),,,
fc8d5bf0-149c-0138-c576-740f24312a1c,,Postal Address,St. Ouen,Parish,,,,,,,,,,,"Richmond Map,Coastal Fortification",Val du Trop Guardhouse,,"Val du Trop Guardhouse, La Rue du Moulin",,0900380,GEOMETRYCOLLECTION (POINT (-2.205541 49.248391)),,,
