ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Archaeological Period From,Archaeological Period To,Artefact Description,Cadastral Reference,Completeness,Condition Type,Conservation,Depth of Discovery,Dimensions Weight,Discovery Date,End Date Precision Type,End Date Type,External Identifier Type,External Source,Finder,Folio_No,Image,Land Use,Manufacture Method,Material,Measurement Type,Measurement Unit,Name,Name Type,Place Address,Place Description,Place Name,Place Type,Primary Reference Number,Record Type,Recovery Method,Secondary Material,Spatial Accuracy Type,Spatial Coordinates Geometry,Spatial Metadata Note,Start Date Precision Type,Start Date Type,Subsequent Action,Surface Treatment
5d8d8050-3567-11ec-8701-0275d4869ef4,Field Number,St. Saviour,Parish,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"Société Jersiaise Finds Record Entry (2017) SJFR69 reads: Terminal of cast bronze object, of possible repeated concave/convex profile.  Smooth, slightly convex terminal face (left), side view symmetrical in two planes but assymetrical in opposite two (right), suggesting the object was curved in an arc or a circle.  Broken end has granular texture, showing it to be cast. See similar examples at: https://finds.org.uk/database/artefacts/record/id/458379 https://finds.org.uk/database/artefacts/record/id/548462",,Fragment,,,,Dimensions:	20mm x 15mm Weight: 20.14g,2017-06-19,,,,,,,/files/uploadedfiles/0700389_-_Torc_terminal.JPG,Cultivated,Cast,Copper alloy,Metric,Millimetres/grams,Torc,Possibly,St. Saviour,,St. Saviour,,0700389,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.097996 49.182965)),Findspot known as ‘St. Saviour’; accurate location protected and marked as Jersey Archive.,,,Donated to SJ,
854d3dfe-327b-11ec-8701-0275d4869ef4,,Trinity,Parish,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"Société Jersiaise Finds Record Entry (2017) SJFR44 reads: A well-preserved fragment of bronze sword blade. It has smooth, polished surfaces with a small plough scar to front and back, and three decorative lines incised into both surfaces, running vertically along the blade. Two of these lines converge together on both sides. The blade is slightly curved, is mid green in colour and the condition is good. See similar examples at: https://finds.org.uk/database/artefacts/record/id/840747 SJFR18, SJFR40",,,,,,Dimensions:	60.5mm x 15mm x 10mm Weight:	28.54g,2017-06-08,,,,,,,"/files/uploadedfiles/1200338_-_Bronze_blade_fragment_1.JPG,/files/uploadedfiles/1200338_-_Bronze_blade_fragment_2.1.jpg",Cultivated land,Cast,Copper alloy,Metric,Millimetres/grams,Sword blade,Certain,,,Trinity,,1200338,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.097996 49.182965)),Findspot known as ‘Trinity'; accurate location protected and marked as Jersey Archive.,,,,
3c9f756a-1e8e-11eb-8701-0275d4869ef4,,St. Saviour,Parish,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"The top half of a post-medieval silver gilt hollow-cast spherical head for a pin, possibly a hat or dress pin which dates to circa 16th century AD.   This hemispheres has four large circles of twisted wire filigree. Each large circle contains four medium twisted filigree circles (not all complete) surrounding a knop, two of which are missing. Between each large circle are smaller twisted filigree circles surrounding a knop, two of which are missing. In the centre of the top hemisphere are four small twisted filigree circles surrounding a knop. One one side knop remains between the large circles at the base of the hemisphere. Also at the base is a very worn border which may be the remains of twisted wire filigree.  The hemisphere is 12mm in length and 9mm width due its now compressed shape. The dephth is 6mm and its total weight is 1.8g.  Similar to:  PAS Unique ID: LVPL-2B1698 and 0900406",,Fragment,Untreated,,1 spade deep - approx. 1ft,Length 12mm Width 9mm Depth 6mm Weight 1.8g,2019-09-04,,,,,,,/files/uploadedfiles/1100267.jpg,Cultivated,Cast,Silver,Metric,Millimetres/grams,Pin,Certain,,,,,1100267,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.0977 49.182973)),Findspot known as ‘La Vingtaine de la Grande Longueville’; location protected and marked as Jersey Archive.,,,Returned to Finder,Gilded
fb5ec220-1e88-0138-8d69-740f24312a1c,,St. Lawrence,Parish,,,Large oblong dolerite axe with bevelled end.  Dimensions:  Length: 19.50 cm  Width: 7.00 cm  Thickness: 4.60 cm,,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Axe,,,,,,0600296,,,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘St Lawrence’; location protected and marked as Jersey Archive.,,,,
791baa10-19c2-0138-c5a6-740f24312a1c,Postal Address,St. Clement,Parish,,,,,,,,,,,,,,,,,,,,,Metric,Millimetres/grams,Sabre,,,,,,0200156,,,,,GEOMETRYCOLLECTION (POINT (-2.067339 49.170668)),,,,,
a40b9610-1377-11eb-8701-0275d4869ef4,,Grouville,Parish,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"A fragment of a copper alloy blade from a Bronze Age sword or knife. The object is rectangular in plan with a flat sub-rectangular cross section. The cutting edges have been extensively broken and abraded. Also, the metal is pitted with a green/brown corroded patina.   The height of the fragment is 53.5mm, the thickness is 7.8mm the width is 30.0mm and it weighs 37.52g.",,Fragment,Untreated,,6 inches,53.5 x 30.0 x 7.8mm 37.52g,2020-03-01,,,,,,,/files/uploadedfiles/0300377.jpg,Cultivated land,Cast,Copper alloy,Metric,Millimetres/grams,Blade,Certain,,,,,0300377,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.0977 49.182973)),Findspot known as ‘Grouville’; location protected and marked as Jersey Archive.,,,,
51c10c90-1e0c-0138-8d55-740f24312a1c,Field Number,St. Brelade,Parish,Unknown,Unknown,"A cigar shaped pebble with signs of use at each end. 'Benest' inscribed on it.  Chance find by a relative of the land owner.  In 1984 a stone tool, possibly an axe, was discovered in the garden of La Moye View. This may be the same field. The find was returned to the landowner.",,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Lithic implement,,,,,,0100417,,Other chance find,,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.222294 49.186135)),,,,Returned to Landowner,Incised or engraved or chased
33c17360-193b-0138-c588-740f24312a1c,,St. Helier,Parish,,,A large hammerstone was discovered in a rubbish pit in Garden Lane.  ,,,,,,Length: 16.40cm  Width: 7.89cm  Thickness 5.12cm ,,,,,,,,,,,Stone,Metric,Millimetres/grams,Hammerstone,,,,,,0400817,,Other chance find,,Accurate to 1km,GEOMETRYCOLLECTION (POINT (-2.10611 49.188746)),,,,,
51c26de0-1e0c-0138-8d55-740f24312a1c,,St. Brelade,Parish,,,Five flint thumb scrapers found in St Aubin. ,,,,,,,,,,,,,,,,,Flint,Metric,Millimetres/grams,Scraper (tool),,,,,,0100465,,,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘St Brelade’; location protected and marked as Jersey Archive.,,,,
171e79e0-4141-11ec-8701-0275d4869ef4,,St. Helier,Parish,Iron Age 700-51 BCE,Gallo-Roman 51 BCE-451 CE,"A Late Iron Age coin of the Coriosolite Tribe.   Series Y, Class I, Group H2, Coin 42 based on Obverse eye shape and ear spiral and reverse symbol placement, (c.1st century BC). (Hooker p.41).  Metal: Billon, an alloy of copper and tin (bronze) with silver and some impurities, such as gold, in proportion as much as 0.33%. The silver content can be as low as 3% or as high as 40%, but most often between 20 and 35% (Hooker 2002, p.16).  Reverse:  Chariot pony and driver to right, symbol below. Struck off centre, reins and symbol below pony worn away.  Obverse: Worn. Head to right; hair is in three masses or locks, each composed of many hairs, some of which terminate in small curls. The top lock of hair has an S-shape that contains additional decoration in its lower part. Head has a forelock; nose missing due to off-centre striking.  Diameter: 23.26, Weight: 6.4g  Ref: Hooker, J. (2002) Celtic Improvisations: An Art Historical Analysis of Coriosolite Coins. Oxford, Archaeopress.",,Incomplete,,,Under 12 inches,"Diameter: 23.26, Weight: 6.4g",2013-01-01,,,,,,,/files/uploadedfiles/0401503_-_celtic_stater.jpg,Cultivated land,Struck or hammered,Silver,Metric,Millimetres/grams,Coin,Certain,St. Helier,,St. Helier,,0401503,,Metal detector,Copper alloy,,GEOMETRYCOLLECTION (POINT (-2.097996 49.182965)),Findspot known as ‘St. Helier’; accurate location protected and marked as Jersey Archive.,,,,
