ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Bibliographic Reference,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description Type,Document,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Type,Keyword,Language_Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
04dff520-149c-0138-c574-740f24312a1c,,St. Helier,Parish,,,,2019-11-28,,,,,,,,,1. Jersey Heritage Archaeology collection,,"1. Sherd (A/0003960), tooth fragments (A/0003962), flint (A/0003963-4), stones (A/0003965-7, A/0003970)",,,", Halkett Place",,0400964,GEOMETRYCOLLECTION (POINT (-2.104141 49.186892)),,,
063ddfe0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester. ",,,2019-05-30,,,,,Listed building,Government of Jersey,MN0023,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"The Old School House, La Rue des Alleurs",,0700023,GEOMETRYCOLLECTION (POINT (-2.04945 49.228354)),,The Old School House,
f178bb90-1168-0138-9141-740f24312a1c,Field Number,St. Mary ,Parish,,,,2018-05-22,,,,,,,,,1. Jersey Heritage Archaeology collection ,,1. Artefacts (A/0010125-31) ,,,"Lithic Scatter, Field MY154",,0800188,GEOMETRYCOLLECTION (POINT (-2.177662 49.247939)),,Lithic Scatter,
299078d0-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-02-04,,,,,Listed building,Government of Jersey,SA0154,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"4 Belgreve Terrace, Dicq Road",,1100154,GEOMETRYCOLLECTION (POINT (-2.09588 49.178437)),,4 Belgreve Terrace,
2f16bd20-1168-0138-9138-740f24312a1c,Postal Address,St. Peter,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,,,,,,,,,,,,,,,"St Peter's Villa, La Route de Beaumont",,1000290,GEOMETRYCOLLECTION (POINT (-2.159134 49.196643)),,St Peter's Villa,
b3877af0-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey. ",,,2018-05-16,,,,,Listed building,Government of Jersey,TR0050,,1. Société Jersiaise 2. Government of Jersey 3. Jersey Heritage Social History collection,,"1. Sites and Monuments Database 2. Listing photographs, Historic Environment Resurvey 3. Stamps (JERSM/2012/00161/001-2)","Mill,Richmond Map",,"Le Moulin de Ponterrin, La Rue du Moulin de Ponterrin",,1200050,GEOMETRYCOLLECTION (POINT (-2.086811 49.216088)),,Le Moulin de Ponterrin,
04afba70-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-30,,,,,Listed building,Government of Jersey,HE0520,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"8, Windsor Road",,0400520,GEOMETRYCOLLECTION (POINT (-2.106317 49.189292)),,8,
04d887a0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-11-04,,,,,Listed building,Government of Jersey,HE1815,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",,,"12, La Chasse",,0401815,GEOMETRYCOLLECTION (POINT (-2.10257 49.182456)),,12,
064b95f0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 03.06.2019)",,,,,,,,,,,,,,,,,"Datestone '1826' , Le Mont de Rozel",,0700374,GEOMETRYCOLLECTION (POINT (-2.04607 49.235557)),,Datestone '1826' ,
0643da30-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London. Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.",,,2019-05-31,,,,,Listed building,Government of Jersey,MN0186,,1. Government of Jersey 2. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",Richmond Map,,"Houguemont, La Rue d'Aval",,0700186,GEOMETRYCOLLECTION (POINT (-2.037226 49.202087)),,Houguemont,
