ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Archaeological Period From,Archaeological Period To,Artefact Description,Cadastral Reference,Completeness,Condition Type,Conservation,Depth of Discovery,Dimensions Weight,Discovery Date,End Date Precision Type,End Date Type,External Identifier Type,External Source,Finder,Folio_No,Image,Land Use,Manufacture Method,Material,Measurement Type,Measurement Unit,Name,Name Type,Place Address,Place Description,Place Name,Place Type,Primary Reference Number,Record Type,Recovery Method,Secondary Material,Spatial Accuracy Type,Spatial Coordinates Geometry,Spatial Metadata Note,Start Date Precision Type,Start Date Type,Subsequent Action,Surface Treatment
9fda0642-9ab5-4455-bc46-6093e4d2e350,,,,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"Complete cast copper-alloy rectangular two-piece shoe buckle with drilled frames for separate spindles, c.1690-1720 (Whitehead 2016, pp.96-103). The buckle is concavo-convex with rounded bevelled edges. The buckle is complete and intact, bearing a Whitehead type III ""cooking pot"" shaped chape with triangular spike. The buckle has a surviving triangular pin. The convex side of the buckle frame bears incised transverse line decoration, with two longitudinal incised lines c. 10cm in length at either side of the strap bar.References:Whitehead, R. (2016) ""Buckles 1250-1800"", Witham: Greenlight publishing, pp. 96-101.",,Complete,,,,,01/04/2022,,,,,,,,Intertidal,Cast,Copper alloy,,,Buckle,Certain,,,,,0100378,,Metal detector,,,,,,,Returned to Finder,
27f73991-94fb-4ac9-9c89-21f4dafe5a33,,,,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"A fragment of a copper alloy sword blade of Late Bronze Age date (c.1600–750 BCE).A short section of blade survives with a broad, convex-surfaced mid-rib on either face, flanked by a pair of vertical grooves. Either side of the mid-rib the bladed thickness gradually tapers towards each cutting edge. Both cutting edges are worn and incomplete and the breaks are worn and abraded. This fragment was likely towards the tip of the blade based on its size and taper.",,Fragment,,,,,01/01/2022,,,,,,,,Cultivated land,Cast,Copper alloy,,,Sword blade,Certain,,,,,0200232,,Metal detector,,,,,,,Returned to Finder,
83d61ffd-c8a3-4f8d-85d1-590731278e93,,,,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,A cast-copper alloy buckle frame fragment of Late-Medieval to Post-Medieval date. The frame bears a moulded transverse notch on the outer edge of the loop for the pin. Strap bar now missing.Moulded decorative buckles of this type suggest a c.1550-1650 date.  ,,Fragment,,,,,01/01/2014,,,,,,,,Cultivated land,Cast,Copper alloy,,,Buckle,Certain,,,,,0300101,,Metal detector,,,,,,,Returned to Finder,
6836f6dd-acf5-4ede-82f2-a50b9dba424d,,,,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,A complete copper alloy late Bronze Age pegged socketed spearhead with a portion of surviving maple wood shaft with a C14 date of 1207-1004BC (Parisian type Atlantic 2 (1125-1050BC).Research ongoing.,,Complete,,,,,28/08/2020,,,,,,,,Intertidal,Cast,Copper alloy,,,Spearhead,Certain,,,,,0300386,,Metal detector,,,,,,,Purchased by JHT,
3ef0c4b6-4374-4f3f-9ac5-bd749a35e338,,,,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"A post-medieval incomplete copper alloy sword or sabre pommel, probably of a military sword of the 17th - 19th century. The pommel is zoomorphic in design, being the shape of a lions head with cast inscribed decoration representing fur. The protruding snout of the lion bares its teeth, and the ears of the lion either side of the protruding button extend outward. Below the snout is a semi-circular gap where the knuckle guard of the half basket-hilt construction would have terminated into the handle. The large hole at the bottom of the lions head would have received the sword handle. The pommel button on both the interior and exterior of the object bears the remnants of iron corrosion from the tang of the sword.Lion headed pommels were common in military swords of various European nations, including Britain, France, Germany and Switzerland. Examples stylistically similar to this pommel have been dated from the 17th to 19th centuries, though some examples may be dated to the 20th century.",,Incomplete,,,,,Within the past 8 years,,,,,,,,Cultivated land,Cast,Copper alloy,,,Sword pommel,Certain,,,,,0300398,,Metal detector,,,,,,,,
7b5d33ff-e7c8-4689-801d-91060ac6c1bf,,,,Post Medieval 1540-1901 CE,Modern 1901 CE-,"An incomplete ceramic moulded figurine or doll of unknown date. The figurine is broken at the waist, with the lower body and legs missing.The object is roughly humanoid in shape, and appears to represent a feminine figure in relief, with prominent face and long hair to the shoulders. The figure wears a possible veil behind the head which continues to the sides of the shoulders. The feint remains of ears either side of the face are visible. Starting from the shoulders, arms travel down the body and curve up sharply, ending with hands together at the chest as if in prayer.  The back of the object bears no remaining decoration, and is convex in shape.The figure is heavily worn and missing much diagnostic detail. The front surface of the object is light orange brown in colour, the back surface is an orange-beige colour, and the core of the surface is a light orange-beige colour.The fabric of the object is hard. It has a rough, porous feel and is marked by erosion and a number of inclusions. Each surface displays moderate oval possible grog fragments <1mm.The surface of the object bears a number of moderate inclusions of mica, limestone and grog (reused pottery). The fabric of the object fracture shows a dark area of what is probably grog, with rare <1mm mica and rare <2mm limestone inclusions. The colours of this area vary from cream, orange, and dark black-purple. The fabric of the pottery appears post-medieval (c.18-20 century) as opposed to examples of Roman ceramic we see in Jersey.The object was probably previously glazed.",,Incomplete,,,,,Within the last 5-6 years.,,,,,,,,Coastland,Moulded,Ceramic,,,Figurine,Certain,,,,,0401507,,Other chance find,,,,,,,,
fdf5958a-593a-47da-af80-3e968d1da3d8,,,,Medieval 934-1539 CE,Medieval 934-1539 CE,"A complete cast copper alloy harness pendant suspension mount with surviving copper alloy harness pendant attached, dating AD 1200 - 1400. The harness mount is an irregular shape in plan, consisting of a rounded oval top that again flares outwards towards its bottom. A cut or pierced square hole received the attached pendant, which is bevelled. Towards the lower sides of the harness mount, each side of the square hole, are breaks that would have held further wings or arms, probably with further holes or rivets to attach to a leather harness. The reverse of the harness mount is mostly flat, save for the top on which projects a rivet for attachment to a harness.The pendant cast copper alloy, and is attached by an integral flat hook, roughly D-shaped in cross section. The pendant itself is roughly a pointed oval in shape, with a cast and bent integral hoop at its top and a rounded projecting 'tongue' at its bottom. The pendant was originally flat, but has been slightly bent inwards. No decoration remains.The obverse of the object has suffered from significant patina removal  post-excavation.Similar examples can be seen in Read (2016), p. 62.References: Read, B. (2016), ""Identifying Metal Artefacts: Volume One"", Essex:Greenlight Publishing. ",,Incomplete,,,,,04/07/2022,,,,,,,,,Cast,Copper alloy,,,Harness pendant,Certain,,,,,0401548,,Metal detector,,,,,,,Returned to Finder,
4dde5822-088c-445d-b2ea-6745b51237c2,,,,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"Incomplete cast copper alloy socketed axe head of the Late Bronze Age (c.1600–750 BCE).The axehead is missing its collar and loop, along with a significant portion of its body. the object bears clear casting flashes on each side.This object is of clear Armorican type, possibly corresponding with Trehou type axeheads (Briard 1976).References:Briard, J. & Verron, G. (1976) Typologies des Objets de L'age du Bronze en France, Fascicule III: Haches (2). Paris.",,Incomplete,,,,,Post-2015,,,,,,,,Cultivated land,Cast,Copper alloy,,,Axehead,Certain,,,,,0500290,,Metal detector,,,,,,,,
d4ada413-f0c7-4092-8217-78b1cf5eabea,,,,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"A Post-Medieval (c.1600-1900) cast copper-alloy broadly cruciform openwork part of the terminal of a toasting fork or similar utensil. The object is incomplete, with a large central cut out in the form of a cross with lobed arms (broadly pointed oval), likely the stumps of tines and/or a handle. Around the cross is a moulded border on both faces. The zone between this border and the edge is decorated with pairs of moulded transverse lines. At the end of the elongated arm of the cross the object thickens and develops a square cross-section with rounded corners. A short stem extends downwards from the bottom of the object which has five rings of screw thread around it.",,Incomplete,,,,,Within the last 8 years.,,,,,,,,Cultivated land,Cast,Copper alloy,,,Fork (utensil),Certain,,,,,0600319,,Metal detector,,,,,,,Returned to Finder,
f0c86d91-2352-489d-9437-9014bf23a03b,,,,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,"An incomplete copper alloy jew's harp (or jaw harp), of the Late Medieval to Post Medieval period, dating from c. AD 1400 to c. AD 1700.In plan, the object consists of a sub circular head, and two tapering arms, both with the characteristic lozenge cross section. The arms are complete. The rabbet (triangular notch) is located at the apex of the head. The iron tongue is missing, though orange rust remains around the rabbet.Jew's (or jaw) harps have a long history of being folk instruments, with a wide geographical distributions. They are believed to be indigenous to South East Asia, and had been introduced to Europe by the Crusades (11th to 14th Centuries AD). The form of the European Jews harp, is made from metal, commonly iron in modern examples.Four iron jews harps were recovered from excavations in London's waterfront, and have been dated from c.1270 to c.1400 (Egan, 1998, 284-5). Over 150 examples have been recorded on the PAS database, most with a circular head as opposed to a flattened or oval head and the majority of them have been attributed to the Post Medieval period. This example is probably Late Medieval to Post Medieval in dating (1400 - 1700 AD).Reference:Egan, G. 1998.""The Medieval Household Daily Living c. 1150 - c. 1450"". Medieval Finds from Excavations in London: 6. 284. London: The Stationery Office.",,Incomplete,,,,,01/04/2022,,,,,,,,Cultivated land,Cast,Copper alloy,,,Jews harp,Certain,,,,,0600321,,Metal detector,,,,,,,Returned to Finder,
