ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
5051fa60-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Batterie Ziethen, Le Mont de la Pulente",,GEOMETRYCOLLECTION (POINT (-2.229369 49.186549)),Postal Address,German Occupation,,St. Brelade,,,,Site of Batterie Ziethen,100018, ,,,,,
5052e2d0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Le Coin Farm, Le Mont du Coin",,GEOMETRYCOLLECTION (POINT (-2.172866 49.196321)),Postal Address,Richmond Map,,St. Brelade,,,,Le Coin Farm,100038, ,,,,,
50537c30-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Batterie Roon, Le Chemin des Signaux",,GEOMETRYCOLLECTION (POINT (-2.218224 49.178337)),Postal Address,German Occupation,,St. Brelade,,,,Site of Batterie Roon,100052, ,,,,,
50538490-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Action Post Beau Rivage, Le Mont Sohier",,GEOMETRYCOLLECTION (POINT (-2.196666 49.185265)),Postal Address,German Occupation,,St. Brelade,,,,Site of Action Post Beau Rivage,100053, ,,,,,
5053a240-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Middle Battery, Le Mont Sohier",,GEOMETRYCOLLECTION (POINT (-2.196017 49.185187)),Postal Address,"Richmond Map,Coastal Fortification",,St. Brelade,,,,Site of Middle Battery,100056, ,,,,,
50550a30-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Resistance Nest Red Houses, La Marquanderie",,GEOMETRYCOLLECTION (POINT (-2.2017 49.186985)),Postal Address,German Occupation,,St. Brelade,,,,Site of Resistance Nest Red Houses,100088, ,,,,,
50556090-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Batterie Hindenburg, La Route Orange",,GEOMETRYCOLLECTION (POINT (-2.210129 49.190449)),Postal Address,German Occupation,,St. Brelade,,,,Site of Batterie Hindenburg,100096, ,,,,,
505580c0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Sites of Resistance Nest La Moye, La Route Orange",,GEOMETRYCOLLECTION (POINT (-2.215861 49.188274)),Postal Address,German Occupation,,St. Brelade,,,,Sites of Resistance Nest La Moye,100099, ,,,,,
f20d785e-c0f9-4c4d-bb5f-929bb905bb7b,Parish,Listed building,,,,Conservation Statement,Portelet Tower and L’Ile au Guerdain ,Conservation Statement,GEOMETRYCOLLECTION (POINT (-2.177510 49.170004)),Postal Address,"Coastal Fortification, German Occupation",,St. Brelade,"The subject of the Conservation Statement is Portelet Tower & L’Ile au Guerdain in Portelet Bay, St Brelade, Jersey. The primary purpose of the statement is to draw together existing information, to set down a brief history for the site, a description of the principal elements, an assessment of significance, the identification of major conservation issues and a series of policies. The Conservation Statement is intended to inform and advise the management of the site and future decisions concerning its alteration and use.",2020,,Portelet Tower and L’Ile au Guerdain ,100105,21/06/2019,,,States of Jersey,BR0105,
5055db90-116c-0138-914f-740f24312a1c,Parish,,,,,,Site of Resistance Nest Hohe 266,,GEOMETRYCOLLECTION (POINT (-2.208 49.197201)),Postal Address,German Occupation,,St. Brelade,,,,Site of Resistance Nest Hohe 266,100106, ,,,,,
