ResourceID,Title,Place Description,Language_Type,Geometry Qualifier,Title Type,Keyword,Address Type,Temporal Coverage Timespan,Administrative Subdivision Name,External XRef,Administrative Subdivision Type,Place Address,Copyright Description,Copyright Type,Primary Reference Number,Description,External Identifier Type,Information Carrier Format Type,Spatial Coordinates Geometry,Date of Publication,Information Carrier,Date of Creation,Bibliographic Reference,External Source,Document,Information Resource Type,Description Type,
50762a60-116c-0138-9150-740f24312a1c,Brook Farm,,,,,Richmond Map,Postal Address,,St. Brelade,BR0001,Parish,"Brook Farm, Le Mont Nicolle",,,100001,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.185784 49.189659)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p.",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
50763670-116c-0138-9150-740f24312a1c,Bute Lodge,,,,,Richmond Map,Postal Address,,St. Brelade,BR0002,Parish,"Bute Lodge, Le Mont du Ouaisné",,,100002,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.175327 49.176592)),,<p>1.  Government of Jersey</p>,,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  White, J. 2018. What's Your Street's Story?: Ouaisne. [Unpublished talk]",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50764c30-116c-0138-9150-740f24312a1c,La Cornuerie Farm,,,,,Richmond Map,Postal Address,,St. Brelade,BR0003/BR0018/BR0052,Parish,"La Cornuerie Farm, La Ruelle du Clos du Parcq",,,100003,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.174294 49.178494)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50765a90-116c-0138-9150-740f24312a1c,Chestnut Farm,,,,,Richmond Map,Postal Address,,St. Brelade,BR0004,Parish,"Chestnut Farm, Le Mont du Ouaisné",,,100004,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.17481 49.17664)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London. Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London. </p>
<p>White, J. 2018. What's Your Street's Story?: Ouaisne. [Unpublished talk]</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
507668b0-116c-0138-9150-740f24312a1c,Floriana,,,,,,Postal Address,,St. Brelade,BR0005,Parish,"Floriana, La Route de la Haule",,,100005,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.162598 49.195136)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise Photographic Archive</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Photograph (SJPA/000273)</p>",,
507676d0-116c-0138-9150-740f24312a1c,La Partie,,,,,,Postal Address,,St. Brelade,BR0006,Parish,"La Partie, La Route du Petit Port",,,100006,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.22189 49.183988)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>Le Feuvre, E. 2018. What's Your Street's Story?: La Moye. [Unpublished talk]</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
507683d0-116c-0138-9150-740f24312a1c,Le Bocage,,,,,Richmond Map,Postal Address,,St. Brelade,BR0007,Parish,"Le Bocage, La Rue du Bocage",,,100007,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.177638 49.190715)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise </p><p>3.  Jersey Archive </p><p>4.  Jersey Heritage Art collection </p><p>5.  Société Jersiaise Photographic Archive</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database </p><p>3. Report (L/A/06/F/23) </p><p>4. Drawings (SJA/0000/02471, SJA/0000/02474, SJA/0000/02476) </p><p>5. Photographs (SJPA/001153, SJPA/001914, SJPA/002832)</p>",,
50768e80-116c-0138-9150-740f24312a1c,La Mielle,,,,,,Postal Address,,St. Brelade,BR0008,Parish,"La Mielle, La Route de la Haule",,,100008,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.164258 49.19468)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50769980-116c-0138-9150-740f24312a1c,Beauvoir,,,,,,Postal Address,,St. Brelade,BR0009,Parish,"Beauvoir, La Route du Petit Port",,,100009,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.220181 49.184369)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>Le Feuvre, E. 2018. What's Your Street's Story?: La Moye. [Unpublished talk]</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5076a410-116c-0138-9150-740f24312a1c,Argilston,,,,,Richmond Map,Postal Address,,St. Brelade,BR0010,Parish,"Argilston, Le Mont Nicolle",,,100010,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.186429 49.189701)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p>",,
