ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
468e8f70-116c-0138-9149-740f24312a1c,Parish,Listed building,,,,,"Folly Farm, La Rue des Buttes",,GEOMETRYCOLLECTION (POINT (-2.143658 49.241144)),Postal Address,Richmond Map,,St. John,,,,Folly Farm,0500148,,,,Government of Jersey,JN0148,
8b70a810-1498-0138-c570-740f24312a1c,Parish,,,,,,Site of coin finds,,GEOMETRYCOLLECTION (POINT (-2.093522 49.174493)),,,,St. Clement,,,,Site of coin finds,0200191,,,,,,
0bda18e0-116c-0138-9146-740f24312a1c,Parish,Listed building,,,,,"St. Lawrence Parish Church, La Grande Route de St Laurent",,GEOMETRYCOLLECTION (POINT (-2.141688 49.214632)),Postal Address,"Richmond Map,Place of Worship",,St. Lawrence,,,,St. Lawrence Parish Church,0600197,,,,Government of Jersey,LA0197,
0bd495c0-116c-0138-9146-740f24312a1c,Parish,Listed building,,,,,"La Fantaisie, Le Mont Cambrai",,GEOMETRYCOLLECTION (POINT (-2.143808 49.20142)),Postal Address,,,St. Lawrence,,,,La Fantaisie,0600097,,,,Government of Jersey,LA0097,
468f71a0-116c-0138-9149-740f24312a1c,Parish,Listed building,,,,,"Beau Reveil, La Route des Issues",,GEOMETRYCOLLECTION (POINT (-2.130601 49.244231)),Postal Address,,,St. John,,,,Beau Reveil,0500169,,,,Government of Jersey,JN0169,
04691210-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"43a, Great Union Road",,GEOMETRYCOLLECTION (POINT (-2.106976 49.189026)),Postal Address,,,St. Helier,,,,43a,0401015,,,,Government of Jersey,HE1015,
062449e0-116c-0138-9143-740f24312a1c,Parish,Listed building,,,,,"Le Cotil, La Rue St Julien",,GEOMETRYCOLLECTION (POINT (-2.048244 49.207155)),Postal Address,Richmond Map,,St. Martin,,,,Le Cotil,0700268,,,,Government of Jersey,MN0268,
04737620-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"3-4 Queen's Road Terrace, Queen's Road",,GEOMETRYCOLLECTION (POINT (-2.109064 49.193238)),Postal Address,,,St. Helier,,,,3-4 Queen's Road Terrace,0401328,,,,Government of Jersey,HE1328/HE1329,
5054a7e0-116c-0138-914f-740f24312a1c,Parish,Listed building,,,,,"Milestone 'B7', Le Mont de la Pulente",,GEOMETRYCOLLECTION (POINT (-2.225963 49.187093)),Postal Address,,,St. Brelade,,,,Milestone 'B7',0100081,,,,Government of Jersey,BR0081,
04526c30-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"6, The Parade",,GEOMETRYCOLLECTION (POINT (-2.110001 49.186254)),Postal Address,Mill,,St. Helier,,,,6,0400378,,,,Government of Jersey,HE0378,
