ResourceID,Ancillary Feature Cultural Period,Style Use Type,Measurement Unit,Component Type,Modification Description,Material,End Date Type,Period of Significance From Date,External XRef,Type of Designation or Protection,Recommendation Type,Style To Date,Designation or Protection To Date,Ancillary Feature From Date,Administrative Subdivision Type,Heritage Resource Type Cultural Period,Eligibility Requirement Type,Place Description,Start Date of Existence,Administrative Subdivision Name,Integrity Type,Construction Technique,Date Condition Assessed,Period of Significance To Date,Start Date Type,Cadastral Reference,Evaluation Criteria Type,Disturbance Type,Status,Heritage Resource Type From Date,Name Type,External Identifier Type,Date Evaluated,External Source,Reasons,Keyword,Condition Type,Style,Name,Description Type,Designation or Protection From Date,Style Cultural Period,Description,Measurement Value,End Date of Existence,Primary Reference Number,Resource Type Classification,Heritage Resource Use Type,Modification Date,Condition Image,Address Type,Setting Type,Ancilary Feature To Date,Ancillary Feature Use Type,Modification Type,Ancillary Feature Type,Condition Description,Heritage Resource Type,Threat Type,Spatial Coordinates Geometry,Geometry Qualifier,Heritage Resource Type To Date,Place Address,Measurement Type,Style From Date
b34a7600-149f-0138-c578-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{u'status': u'uploaded', u'index': 0, u'name': u'1200120.jpg', u'url': u'/files/uploadedfiles/1200120.jpg', u'lastModified': 1572352306000, u'content': u'blob:https://her.jerseyheritage.org/c74169ea-4e6d-406a-b4bc-7c6974efca4b', u'file_id': u'08878ae8-41b1-11ea-8701-0275d4869ef4', u'accepted': True, u'type': u'image/jpeg', u'size': 987415}]",,,,,,,,,,,,,,,
502e50d0-116c-0138-914e-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manor House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502e1160-116c-0138-914e-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEOMETRYCOLLECTION (POINT (-2.171741 49.174291)),,,,,
466dfec0-116c-0138-9148-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{u'status': u'uploaded', u'index': 0, u'name': u'0500097.bmp', u'url': u'/files/uploadedfiles/0500097.bmp', u'lastModified': 1548936965768, u'height': 449, u'content': u'blob:https://her.jerseyheritage.org/d8683096-3bf7-44b7-a412-90f359b7cc22', u'width': 292, u'file_id': u'385df380-3c5f-11ea-8701-0275d4869ef4', u'accepted': True, u'type': u'image/bmp', u'size': 393378}]",,,,,,,,,,,,,,,
2ec9dc40-1168-0138-9136-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{u'status': u'uploaded', u'index': 0, u'name': u'1000064 old shop.jpg', u'url': u'/files/uploadedfiles/1000064_old_shop.jpg', u'lastModified': 1578410058927, u'height': 740, u'content': u'blob:https://her.jerseyheritage.org/3c08bd00-7bd7-4750-b9b8-ec74fc98f429', u'width': 1145, u'file_id': u'5c224f5a-41e6-11ea-8701-0275d4869ef4', u'accepted': True, u'type': u'image/jpeg', u'size': 233887}, {u'status': u'uploaded', u'index': 1, u'name': u'1000064.JPG', u'url': u'/files/uploadedfiles/1000064.JPG', u'lastModified': 1569244640000, u'content': u'blob:https://her.jerseyheritage.org/57058949-5530-4882-a21d-5f15eb036393', u'file_id': u'5c224f5b-41e6-11ea-8701-0275d4869ef4', u'accepted': True, u'type': u'image/jpeg', u'size': 1814618}]",,,,,,,,,,,,,,,
05fc2390-116c-0138-9142-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEOMETRYCOLLECTION (POINT (-2.029619 49.19683100000001)),,,,,
84b1c440-1168-0138-9139-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{u'status': u'uploaded', u'index': 0, u'name': u'0300019.JPG', u'url': u'/files/uploadedfiles/0300019.JPG', u'lastModified': 1447926402000, u'content': u'blob:https://her.jerseyheritage.org/e9ab9e23-0bca-4593-a7e4-134971130143', u'file_id': u'bde2afdc-37aa-11ea-8701-0275d4869ef4', u'accepted': True, u'type': u'image/jpeg', u'size': 1227427}]",,,,,,,,,,,,,,,
060548f0-116c-0138-9142-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,La Montee des Greves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669e220-116c-0138-9148-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,Homestead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05feca60-116c-0138-9142-740f24312a1c,,,,,,,,,,,,,,,,,,,,,,,,,,Moulin á St Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
