ResourceID,Title,Place Description,Language_Type,Geometry Qualifier,Title Type,Keyword,Address Type,Temporal Coverage Timespan,Administrative Subdivision Name,External XRef,Administrative Subdivision Type,Place Address,Copyright Description,Copyright Type,Primary Reference Number,Description,External Identifier Type,Information Carrier Format Type,Spatial Coordinates Geometry,Date of Publication,Information Carrier,Date of Creation,Bibliographic Reference,External Source,Document,Information Resource Type,Description Type
0bf55fe0-116c-0138-9147-740f24312a1c,Inverness Lodge,,,,,Richmond Map,Postal Address,,St. Lawrence,LA0115,Parish,"Inverness Lodge, Le Mont au Meunière",,,0600115,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.140071 49.223531)),,1. Société Jersiaise 2. Government of Jersey,2018-06-29,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 06.06.2018) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.",Government of Jersey,,"1. Sites and Monuments Database 2. Listing photographs, Historic Environment Resurvey",
04dff520-149c-0138-c574-740f24312a1c,,,,,,,,,St. Helier,,Parish,", Halkett Place",,,0400964,,,,GEOMETRYCOLLECTION (POINT (-2.104141 49.186892)),,1. Jersey Heritage Archaeology collection,2019-11-28,,,,"1. Sherd (A/0003960), tooth fragments (A/0003962), flint (A/0003963-4), stones (A/0003965-7, A/0003970)",
f178bb90-1168-0138-9141-740f24312a1c,Lithic Scatter,,,,,,Field Number,,St. Mary ,,Parish,"Lithic Scatter, Field MY154",,,0800188,,,,GEOMETRYCOLLECTION (POINT (-2.177662 49.247939)),,1. Jersey Heritage Archaeology collection ,2018-05-22,,,,1. Artefacts (A/0010125-31) ,
29923d20-1168-0138-9135-740f24312a1c,Les Chenes Court,,,,,,Postal Address,,St. Saviour,SA0204,Parish,"Les Chenes Court, La Route de Maufant",,,1100204,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.066186 49.214382)),,1. Government of Jersey,2020-02-04,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
b3877af0-149f-0138-c57a-740f24312a1c,Le Moulin de Ponterrin,,,,,"Mill,Richmond Map",Postal Address,,Trinity,TR0050,Parish,"Le Moulin de Ponterrin, La Rue du Moulin de Ponterrin",,,1200050,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.086811 49.216088)),,1. Société Jersiaise 2. Government of Jersey 3. Jersey Heritage Social History collection,2018-05-16,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey. ",Government of Jersey,,"1. Sites and Monuments Database 2. Listing photographs, Historic Environment Resurvey 3. Stamps (JERSM/2012/00161/001-2)",
04afba70-149c-0138-c574-740f24312a1c,8,,,,,,Postal Address,,St. Helier,HE0520,Parish,"8, Windsor Road",,,0400520,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.106317 49.189292)),,1. Government of Jersey ,2019-08-30,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
04b45fe0-149c-0138-c574-740f24312a1c,Les Chalets,,,,,,Postal Address,,St. Helier,HE0645,Parish,"Les Chalets, Queen's Road",,,0400645,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.108605 49.1934)),,1. Government of Jersey ,2019-09-02,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
0bf535f0-116c-0138-9147-740f24312a1c,La Patrimoine Gate Lodge,,,,,,Postal Address,,St. Lawrence,LA0108,Parish,"La Patrimoine Gate Lodge, Le Mont de la Chesnée",,,0600108,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.137841 49.219474)),,1. Jersey Heritage Social History collection  2. Société Jersiaise 3. Société Jersiaise Photographic Archive 4. Government of Jersey,2018-06-29,"Coutanche, H., Coutanche, S., Le Feuvre, S. 1999. St Lawrence Jersey. A Celebration of our Parish. The Parish of St Lawrence, Jersey.  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Postcard (JHTO/0000/00016/390) 2. Print  3. Photographs (SJPA/002321, SJPA/008715)  4. Listing photographs, Historic Environment Resurvey",
f17a11a0-1168-0138-9141-740f24312a1c,Site of Resistance Nest La Falaise,,,,,German Occupation,,,St. Mary ,,Parish,Site of Resistance Nest La Falaise,,,0800222,,,,GEOMETRYCOLLECTION (POINT (-2.168799 49.251927)),,,,"Ginns, M. 1999. Jersey's German Bunkers. Channel Islands Occupation Society (Jersey), St. Ouen. States of Jersey. 1975. German Occupation Sites Map. States of Jersey Library Service. ",,,,
29963330-1168-0138-9135-740f24312a1c,Le Coffin des Moulins,,,,,,Field Number,,St. Saviour,,Parish,"Le Coffin des Moulins, Field S404",,,1100175,,,,GEOMETRYCOLLECTION (POINT (-2.076938 49.202532)),,,2020-02-04,"Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,,
b3879100-149f-0138-c57a-740f24312a1c,Ville es Normans North,,,,,Richmond Map,Postal Address,,Trinity,TR0167,Parish,"Ville es Normans North, La Neuve Route",,,1200167,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.108838 49.22704)),,1. Government of Jersey,2018-05-18,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 14.05.2018) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
04b17080-149c-0138-c574-740f24312a1c,13,,,,,,Postal Address,,St. Helier,HE0570,Parish,"13, Devonshire Place",,,0400570,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.106399 49.186975)),,1. Government of Jersey ,2019-08-30,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
063fec00-116c-0138-9144-740f24312a1c,Albion House,,,,,,Postal Address,,St. Martin,MN0072,Parish,"Albion House, Les Ruettes",,,0700072,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.040737 49.21276)),,1. Government of Jersey,2019-05-30,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
850107b0-1168-0138-913b-740f24312a1c,Fairlands,,,,,,Postal Address,,Grouville,,Parish,"Fairlands, La Petite Rue du Nord",,,0300312,,,,GEOMETRYCOLLECTION (POINT (-2.064071 49.197736)),,,2020-12-02,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,,
29962940-1168-0138-9135-740f24312a1c,Site of Copps Brick Works - Five Oaks,,,,,,Postal Address,,St. Saviour,,Parish,"Site of Copps Brick Works - Five Oaks, La Grande Route de St Martin",,,1100112,,,,GEOMETRYCOLLECTION (POINT (-2.081277 49.199365)),,1. Société Jersiaise Photographic Archive 2. Jersey Heritage Social History collection,2020-01-04,"Foster, T. 2012. What's Your Street's Story?: Five Oaks. [Unpublished talk] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,"1. Photograph (SJPA/012127) 2. Bricks (JERSM/2000/00042/005, JERSM/2010/00109)",
fcac8500-149c-0138-c577-740f24312a1c,La Maison du Maresquet,,,,,Richmond Map,Postal Address,,St. Ouen,OU0247,Parish,"La Maison du Maresquet, La Route des Landes",,,0900247,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.237955 49.245635)),,1. Government of Jersey,2018-12-19,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 08.11.2018)  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
2f0b6370-1168-0138-9138-740f24312a1c,The Oaks,,,,,Richmond Map,Postal Address,,St. Peter,PE0002,Parish,"The Oaks, La Route de Beaumont",,,1000002,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.180697 49.212305)),,1. Government of Jersey  2. Société Jersiaise,2018-08-22,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 30.07.2018)  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Quintaine, R. 2012. What's Your Street's Story?: St Peter's Village. [Unpublished talk] Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",
04cbe690-149c-0138-c574-740f24312a1c,7 Queen's Road Terrace,,,,,,Postal Address,,St. Helier,HE1332,Parish,"7 Queen's Road Terrace, Queen's Road",,,0401332,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.10915 49.19351)),,1. Government of Jersey,2019-10-16,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
04adedd0-149c-0138-c574-740f24312a1c,46,,,,,,Postal Address,,St. Helier,HE0475,Parish,"46, Stopford Road",,,0400475,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.099805 49.189485)),,1. Government of Jersey ,2019-08-29,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",
0bfbc260-116c-0138-9147-740f24312a1c,Datestone '1840',,,,,,Postal Address,,St. Lawrence,,Parish,"Datestone '1840', La Route de la Haule",,,0600202,,,,GEOMETRYCOLLECTION (POINT (-2.151196 49.197241)),,,2020-02-07,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 06.06.2018) ",,,,
50848210-116c-0138-9150-740f24312a1c,Champ de la Hougue,,,,,,Field Number,,St. Brelade,,Parish,"Champ de la Hougue, Field B443",,,0100378,,,,GEOMETRYCOLLECTION (POINT (-2.228733 49.182816)),,,2019-07-26,"Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiase, Jersey.",,,,
84f59dc0-1168-0138-913b-740f24312a1c,Chaumiere de l'Orme,,,,,,Postal Address,,Grouville,GR0014,Parish,"Chaumiere de l'Orme, La Rue à Don",,,0300014,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.060457 49.181233)),,1. Government of Jersey,2020-08-02,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
29929f50-1168-0138-9135-740f24312a1c,1 Woodburne,,,,,,Postal Address,,St. Saviour,SA0216,Parish,"1 Woodburne, La Ruette de Patier",,,1100216,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.087404 49.194279)),,1. Government of Jersey,2020-02-04,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",
